Organisation Name,Identifying Details,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ),Important Notes
A B C TISSUE PRODUCTS PTY LTD,33 003 085 112,"23,396","58,379","707,134",-
A.A. SCOTT PROPRIETARY LIMITED,14 007 601 667,"186,888","7,660","2,698,347",-
A.C.N. 085 239 998 PTY LTD,39 085 239 998,"1,836","172,077","779,159",-
A.C.N. 166 119 133 PTY LTD,31 166 119 133,"65,480","80,122","1,342,560",-
A.J. BUSH & SONS PTY LTD,77 000 134 010,"84,654","15,628","837,116",-
AAPC LIMITED,87 009 175 820,"21,877","168,546","1,142,117",-
ABI AUSTRALIA HOLDING PTY LTD,99 615 290 849,"29,787","68,544","875,780",-
ADELAIDE BRIGHTON LTD.,15 007 596 018,"2,151,902","226,598","14,692,315",-
AERIS RESOURCES LIMITED,30 147 131 977,"17,220","65,305","527,512",-
AGL ENERGY LIMITED,74 115 061 375,"43,097,142","478,207","338,571,588",-
AIR LIQUIDE AUSTRALIA LIMITED,57 004 385 782,"6,161","226,989","1,229,270",-
AIRWORK FLIGHT OPERATIONS PTY LTD,13 119 011 871,"61,718",0,"879,176",-
ALCOA AUSTRALIAN HOLDINGS PTY LTD,33 096 987 370,"6,289,011","4,369,569","124,746,135",-
ALDI FOODS PTY LIMITED,18 086 210 139,"34,740","242,434","1,498,057",-
ALIAXIS HOLDINGS AUSTRALIA PTY LIMITED,33 169 799 080,916,"55,645","271,516",-
ALKANE RESOURCES LTD,35 000 689 216,"19,255","30,879","409,133",-
ALLIANCE AIRLINES PTY LIMITED,81 107 165 980,"154,376","1,101","2,204,631",-
AMAZON CORPORATE SERVICES PTY LTD,95 082 931 600,181,"55,558","243,570","NGER data has been published following the Clean Energy Regulator's decision, on Friday 22 November 2019, to refuse Amazon Corporate Services Pty Ltd's application to have its data withheld from publication."
AMCOR LTD,62 000 017 372,"6,482","53,196","313,884",-
AMP LIMITED,49 079 354 519,"8,117","108,970","599,526",-
ANGLO AMERICAN AUSTRALIA LIMITED,47 004 892 371,"6,136,876","666,901","15,690,254",-
ANGLOGOLD ASHANTI AUSTRALIA LIMITED,42 008 737 424,"380,236",253,"6,501,925",-
APT PIPELINES LIMITED,89 009 666 700,"1,205,708","23,030","14,749,055","Please note that where more than one person has operational control over a facility at the same time and no nomination of operational control has been made, data for the facility for the entire period must be reported by the controlling corporation of each entity with operational control. This results in the same facility being reported multiple times.
APT PIPELINES LIMITED and CLARKE ENERGY (AUSTRALIA) PTY. LTD., have each included the same data for the Daandine Power Station in their NGER reports. For further information refer to the 2017-18 greenhouse and energy information for designated generation facilities."
ARNOTTS BISCUITS HOLDINGS PTY LTD,84 080 889 621,"27,400","51,728","764,408",-
ARROW ENERGY HOLDINGS PTY LTD,94 141 385 293,"411,192","31,090","6,341,097",-
ASAHI HOLDINGS (AUSTRALIA) PTY LTD,48 135 315 767,"16,944","67,821","590,563",-
ASALEO CARE LIMITED,61 154 461 300,"39,924","131,647","1,211,196",-
ATCO AUSTRALIA PTY LTD,74 091 033 546,"605,864",551,"7,156,282",-
ATCO GAS AUSTRALIA GP PTY LTD,76 151 245 779,"159,734",390,"42,272",-
AURIZON HOLDINGS LIMITED,14 146 335 622,"578,614","367,371","9,920,177",-
AUSCAN HOLDINGS PTY LIMITED,70 084 400 886,"131,433",35,"1,797,567",-
AUSCOTT LIMITED,38 008 436 011,"23,456","30,030","470,901",-
AUSGRID MANAGEMENT PTY LTD,83 615 449 548,"22,374","896,149","4,031,825",-
AUSNET SERVICES (TRANSMISSION) PTY LTD,48 116 124 362,"27,193","942,334","3,208,856",-
AUSNET SERVICES HOLDINGS PTY LTD,97 086 006 859,"181,120","518,683","4,997,935",-
AUSTIN HEALTH,96 237 388 063,"16,211","48,064","473,137",-
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,11 005 357 522,"6,953","116,100","558,168",-
AUSTRALIA PACIFIC AIRPORTS CORPORATION LIMITED,89 069 775 266,"10,326","60,658","404,379",-
AUSTRALIAN ENERGY MARKET OPERATOR LIMITED,94 072 010 327,"50,396",0,"977,990",-
AUSTRALIAN GAS NETWORKS LIMITED,19 078 551 685,"574,793",629,"182,306",-
AUSTRALIAN LAMB COMPANY PTY. LTD.,51 007 340 123,"32,363","17,967","122,326",-
AUSTRALIAN LOGISTICS ACQUISITION HOLDINGS PTY LIMITED,28 611 628 909,"919,514","102,792","13,570,430",-
AUSTRALIAN NATIONAL UNIVERSITY,52 234 063 906,"18,435","82,476","597,635",-
AUSTRALIAN NUCLEAR SCIENCE AND TECHNOLOGY ORGANISATION,47 956 969 590,"3,047","61,396","253,034",-
AUSTRALIAN PACIFIC COAL LIMITED,49 089 206 986,"89,453","4,891","21,685",-
AUSTRALIAN POSTAL CORPORATION,28 864 970 579,"119,160","156,609","2,402,420",-
AUTOMOTIVE HOLDINGS GROUP LIMITED,35 111 470 038,"211,660","78,543","3,440,610",-
BAIADA PTY LTD,47 000 426 808,"59,707","165,396","1,971,989",-
BAPSH PTY LIMITED,54 605 702 618,"71,012","8,739","1,052,785",-
BATCHFIRE RESOURCES PTY LTD,84 607 340 189,"136,744","47,394","2,171,957",-
BAYBRICK PTY. LTD.,97 067 220 017,"284,267","259,240","3,444,440",-
BEACH ENERGY LIMITED,20 007 617 969,"495,946","23,800","5,457,159",-
BECHTEL (WESTERN AUSTRALIA) PTY LTD,25 147 531 226,"284,391",0,"4,644,439",-
BEGA CHEESE LIMITED,81 008 358 503,"55,633","100,246","1,697,960",-
BENGALLA MINING COMPANY PTY LIMITED,32 053 909 470,"425,713","61,274","2,504,231",-
BGC (AUSTRALIA) PTY LTD,62 005 736 005,"107,958","72,786","2,311,836",-
BHP BILLITON ENERGY COAL AUSTRALIA PTY LTD,79 057 364 315,"448,696","81,804","6,257,769",-
BHP BILLITON LIMITED,49 004 028 077,"3,432,502","1,287,164","56,922,593",-
BIDFOOD AUSTRALIA LIMITED,33 000 228 231,"20,647","41,613","383,928",-
BIG BEN HOLDINGS PTY. LIMITED,63 008 434 562,"117,225","29,071","1,735,310",-
BILLABONG GOLD PTY LTD,34 613 900 922,"52,495",11,"919,179",-
BLACKHAM RESOURCES LIMITED,18 119 887 606,"51,638",60,"857,934",-
